s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
5.34748E-07,0,2.47656E-06,5.4967E-08,-7.55796E-07,1.34349E-10,0,45.5782,181.78
0.02898,0,-4.99338E-06,3.9475E-06,6.16842E-06,-5.60511E-05,0,45.5498,181.786
0.02898,0,-4.99338E-06,3.9475E-06,6.16842E-06,-5.60511E-05,0,45.5498,181.786
0.131729,1,-1.93589E-05,1.07028E-05,8.56527E-06,-4.83323E-06,0,45.4491,181.807
0.131729,1,-1.93589E-05,1.07028E-05,8.56527E-06,-4.83323E-06,0,45.4491,181.807
0.271286,3,-3.74254E-05,1.31439E-05,8.83158E-06,-5.16165E-05,0,45.3124,181.834
0.271286,3,-3.74254E-05,1.31439E-05,8.83158E-06,-5.16165E-05,0,45.3124,181.834
0.425791,4,-2.03266E-05,-5.97997E-05,-3.75074E-05,0.00226237,0,45.161,181.865
0.425791,4,-2.03266E-05,-5.97997E-05,-3.75074E-05,0.00226237,0,45.161,181.865
0.591041,6,1.75093E-05,-0.00012425,-7.34601E-05,0.00309446,0,44.999,181.898
0.591041,6,1.75093E-05,-0.00012425,-7.34601E-05,0.00309446,0,44.999,181.898
0.765883,8,0.000106753,-0.000261064,-0.000146164,0.00340897,0,44.8277,181.933
0.765883,8,0.000106753,-0.000261064,-0.000146164,0.00340897,0,44.8277,181.933
0.948838,9,0.000117651,-0.000344308,-0.000186644,0.00182382,0,44.6484,181.969
0.948838,9,0.000117651,-0.000344308,-0.000186644,0.00182382,0,44.6484,181.969
1.1332,11,7.10137E-05,-0.000509341,-0.000276127,0.0042173,0,44.4677,182.006
1.1332,11,7.10137E-05,-0.000509341,-0.000276127,0.0042173,0,44.4677,182.006
1.32061,13,8.51882E-05,-0.000765006,-0.000403692,0.00387089,0,44.2841,182.043
1.32061,13,8.51882E-05,-0.000765006,-0.000403692,0.00387089,0,44.2841,182.043
1.51451,15,6.43617E-05,-0.00100078,-0.000508354,0.00357116,0,44.0941,182.082
1.51451,15,6.43617E-05,-0.00100078,-0.000508354,0.00357116,0,44.0941,182.082
1.71618,17,5.23731E-05,-0.00121921,-0.000594907,0.00343922,0,43.8964,182.122
1.71618,17,5.23731E-05,-0.00121921,-0.000594907,0.00343922,0,43.8964,182.122
1.92492,19,-6.60873E-05,-0.00130524,-0.000622338,0.00165329,0,43.6919,182.164
1.92492,19,-6.60873E-05,-0.00130524,-0.000622338,0.00165329,0,43.6919,182.164
2.13414,21,-0.000146281,-0.00140928,-0.000674269,0.00360336,0,43.4869,182.206
2.13414,21,-0.000146281,-0.00140928,-0.000674269,0.00360336,0,43.4869,182.206
2.34581,23,-0.000229019,-0.00159578,-0.00074724,0.00335481,0,43.2795,182.248
2.34581,23,-0.000229019,-0.00159578,-0.00074724,0.00335481,0,43.2795,182.248
2.56352,26,-0.000342195,-0.00177757,-0.000806096,0.00312922,0,43.0662,182.292
2.56352,26,-0.000342195,-0.00177757,-0.000806096,0.00312922,0,43.0662,182.292
2.78863,28,-0.000431325,-0.00195332,-0.000856163,0.0030073,0,42.8456,182.337
2.78863,28,-0.000431325,-0.00195332,-0.000856163,0.0030073,0,42.8456,182.337
3.0202,30,-0.000576491,-0.00198952,-0.000856696,0.00142938,0,42.6187,182.383
3.0202,30,-0.000576491,-0.00198952,-0.000856696,0.00142938,0,42.6187,182.383
3.25158,33,-0.000681867,-0.0020146,-0.000872408,0.00305613,0,42.392,182.429
3.25158,33,-0.000681867,-0.0020146,-0.000872408,0.00305613,0,42.392,182.429
3.48493,35,-0.000807019,-0.00212725,-0.000904633,0.00288836,0,42.1633,182.476
3.48493,35,-0.000807019,-0.00212725,-0.000904633,0.00288836,0,42.1633,182.476
3.72396,37,-0.000914454,-0.00224457,-0.000928867,0.00270666,0,41.9291,182.523
3.72396,37,-0.000914454,-0.00224457,-0.000928867,0.00270666,0,41.9291,182.523
3.97,40,-0.00106044,-0.00235272,-0.000945113,0.00260304,0,41.6881,182.573
